title,price,link
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Odeon Light Gaellori 3393/1T</div>","<div class=""productItem__cost productItem__cost-new"">8 020 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_odeon_light_gaellori_3393_1t/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Odeon Light Gaellori 3393/1T</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Maytoni Erich MOD221-TL-01-G</div>","<div class=""productItem__cost productItem__cost-new"">10 690 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_maytoni_erich_mod221_tl_01_g/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Maytoni Erich MOD221-TL-01-G</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа (UL-00002342) Uniel TLD-547 White/LED/400Lm/3300-6000K/Dimmer</div>","<div class=""productItem__cost productItem__cost-new"">3 647 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_ul_00002342_uniel_tld_547_white_led_400lm_3300_6000k_dimmer/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа (UL-00002342) Uniel TLD-547 White/LED/400Lm/3300-6000K/Dimmer</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Lucide Ramzi 47506/81/43</div>","<div class=""productItem__cost productItem__cost-new"">4 210 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_lucide_ramzi_47506_81_43/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Lucide Ramzi 47506/81/43</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Elektrostandard Elara синий 4690389111662</div>","<div class=""productItem__cost productItem__cost-new"">3 380 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_elektrostandard_elara_sinij_4690389111662/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Elektrostandard Elara синий 4690389111662</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Freya Milena FR5679TL-01N</div>","<div class=""productItem__cost productItem__cost-new"">8 990 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_freya_milena_fr5679tl-01n/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Freya Milena FR5679TL-01N</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Ньютон CL803052</div>","<div class=""productItem__cost productItem__cost-new"">4 999 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastol_naya_lampa_citilux_n_yuton_cl803052/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Ньютон CL803052</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Omnilux Miglianico OML-75424-01</div>","<div class=""productItem__cost productItem__cost-new"">6 950 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_omnilux_miglianico_oml_75424_01/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Omnilux Miglianico OML-75424-01</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа LUMION 4516/1T</div>","<div class=""productItem__cost productItem__cost-new"">4 990 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastol_naya_lampa_lumion_4516_1t/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа LUMION 4516/1T</div>                </a>            </div>"
"<div class=""productItem__title"" itemprop=""name"">Настольная лампа Maytoni Beira MOD064TL-01N</div>","<div class=""productItem__cost productItem__cost-new"">20 790 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_maytoni_beira_mod064tl-01n/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Maytoni Beira MOD064TL-01N</div>                </a>            </div>"
