title,price,link
"<div class=""productItem__href"">
                <a itemprop=""url"" href=""/products/nastolnaya_lampa_eglo_solo_1_87256/"">
                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Eglo Solo 1 87256</div>
                </a>
            </div>","<div class=""productItem__cost productItem__cost-new"">5 490 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_eglo_solo_1_87256/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Eglo Solo 1 87256</div>                </a>            </div>"
"<div class=""productItem__href"">
                <a itemprop=""url"" href=""/products/nastolnaya_lampa_lumina_deco_la_villanova_ldt_302_md_wt_uts/"">
                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Lumina Deco La Villanova LDT 302 MD+WT УЦ</div>
                </a>
            </div>","<div class=""productItem__cost productItem__cost-new"">6 120 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_lumina_deco_la_villanova_ldt_302_md_wt_uts/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Lumina Deco La Villanova LDT 302 MD+WT УЦ</div>                </a>            </div>"
"<div class=""productItem__href"">
                <a itemprop=""url"" href=""/products/nastolnaya_lampa_omnilux_miglianico_oml_75404_01/"">
                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Omnilux Miglianico OML-75404-01</div>
                </a>
            </div>","<div class=""productItem__cost productItem__cost-new"">6 960 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_omnilux_miglianico_oml_75404_01/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Omnilux Miglianico OML-75404-01</div>                </a>            </div>"
"<div class=""productItem__href"">
                <a itemprop=""url"" href=""/products/nastolnaya_lampa_mw_light_afrodita_317032301/"">
                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа MW-Light Афродита 317032301</div>
                </a>
            </div>","<div class=""productItem__cost productItem__cost-new"">12 240 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_mw_light_afrodita_317032301/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа MW-Light Афродита 317032301</div>                </a>            </div>"
"<div class=""productItem__href"">
                <a itemprop=""url"" href=""/products/nastolnaya_lampa_arte_lamp_junior_a1330lt_1ab/"">
                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Arte Lamp Junior A1330LT-1AB</div>
                </a>
            </div>","<div class=""productItem__cost productItem__cost-new"">3 990 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_arte_lamp_junior_a1330lt_1ab/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Arte Lamp Junior A1330LT-1AB</div>                </a>            </div>"
"<div class=""productItem__href"">
                <a itemprop=""url"" href=""/products/nastolnaya_lampa_mw-light_afrodita_317035101/"">
                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа MW-Light Афродита 317035101</div>
                </a>
            </div>","<div class=""productItem__cost productItem__cost-new"">13 710 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_mw-light_afrodita_317035101/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа MW-Light Афродита 317035101</div>                </a>            </div>"
"<div class=""productItem__href"">
                <a itemprop=""url"" href=""/products/nastolnaya_lampa_maytoni_fad_mod070tl-l8b3k/"">
                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Maytoni Fad MOD070TL-L8B3K</div>
                </a>
            </div>","<div class=""productItem__cost productItem__cost-new"">13 690 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_maytoni_fad_mod070tl-l8b3k/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Maytoni Fad MOD070TL-L8B3K</div>                </a>            </div>"
"<div class=""productItem__href"">
                <a itemprop=""url"" href=""/products/nastolnaya_lampa_citilux_idalgo_cl434811/"">
                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Идальго CL434811</div>
                </a>
            </div>","<div class=""productItem__cost productItem__cost-new"">5 199 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_citilux_idalgo_cl434811/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Идальго CL434811</div>                </a>            </div>"
"<div class=""productItem__href"">
                <a itemprop=""url"" href=""/products/nastolnaya_lampa_citilux_adriana_cl405813/"">
                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Адриана CL405813</div>
                </a>
            </div>","<div class=""productItem__cost productItem__cost-new"">4 599 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_citilux_adriana_cl405813/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Адриана CL405813</div>                </a>            </div>"
"<div class=""productItem__href"">
                <a itemprop=""url"" href=""/products/nastolnaya_lampa_citilux_adriana_cl405823/"">
                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Адриана CL405823</div>
                </a>
            </div>","<div class=""productItem__cost productItem__cost-new"">6 399 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_citilux_adriana_cl405823/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Адриана CL405823</div>                </a>            </div>"
"<div class=""productItem__href"">
                <a itemprop=""url"" href=""/products/nastolnaya_lampa_citilux_emir_cl467813/"">
                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Эмир CL467813</div>
                </a>
            </div>","<div class=""productItem__cost productItem__cost-new"">4 199 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_citilux_emir_cl467813/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Эмир CL467813</div>                </a>            </div>"
"<div class=""productItem__href"">
                <a itemprop=""url"" href=""/products/nastolnaya_lampa_citilux_kair_cl419813/"">
                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Каир CL419813</div>
                </a>
            </div>","<div class=""productItem__cost productItem__cost-new"">5 199 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_citilux_kair_cl419813/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Citilux Каир CL419813</div>                </a>            </div>"
"<div class=""productItem__href"">
                <a itemprop=""url"" href=""/products/nastolnaya_lampa_reccagni_angelo_p_4660_p/"">
                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Reccagni Angelo P 4660 P</div>
                </a>
            </div>","<div class=""productItem__cost productItem__cost-new"">29 472 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_reccagni_angelo_p_4660_p/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Reccagni Angelo P 4660 P</div>                </a>            </div>"
"<div class=""productItem__href"">
                <a itemprop=""url"" href=""/products/nastolnaya_lampa_omnilux_oml_82304_01/"">
                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Omnilux OML-82304-01</div>
                </a>
            </div>","<div class=""productItem__cost productItem__cost-new"">3 650 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_omnilux_oml_82304_01/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Omnilux OML-82304-01</div>                </a>            </div>"
"<div class=""productItem__href"">
                <a itemprop=""url"" href=""/products/nastolnaya_lampa_odeon_light_gaellori_3393_1t/"">
                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Odeon Light Gaellori 3393/1T</div>
                </a>
            </div>","<div class=""productItem__cost productItem__cost-new"">8 020 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_odeon_light_gaellori_3393_1t/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Odeon Light Gaellori 3393/1T</div>                </a>            </div>"
"<div class=""productItem__href"">
                <a itemprop=""url"" href=""/products/nastolnaya_lampa_maytoni_erich_mod221_tl_01_g/"">
                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Maytoni Erich MOD221-TL-01-G</div>
                </a>
            </div>","<div class=""productItem__cost productItem__cost-new"">10 690 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_maytoni_erich_mod221_tl_01_g/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Maytoni Erich MOD221-TL-01-G</div>                </a>            </div>"
"<div class=""productItem__href"">
                <a itemprop=""url"" href=""/products/nastolnaya_lampa_ul_00002342_uniel_tld_547_white_led_400lm_3300_6000k_dimmer/"">
                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа (UL-00002342) Uniel TLD-547 White/LED/400Lm/3300-6000K/Dimmer</div>
                </a>
            </div>","<div class=""productItem__cost productItem__cost-new"">3 647 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_ul_00002342_uniel_tld_547_white_led_400lm_3300_6000k_dimmer/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа (UL-00002342) Uniel TLD-547 White/LED/400Lm/3300-6000K/Dimmer</div>                </a>            </div>"
"<div class=""productItem__href"">
                <a itemprop=""url"" href=""/products/nastolnaya_lampa_lucide_ramzi_47506_81_43/"">
                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Lucide Ramzi 47506/81/43</div>
                </a>
            </div>","<div class=""productItem__cost productItem__cost-new"">4 210 ₽</div>","https://donplafon.ru/catalog/nastolnye/<div class=""productItem__href"">                <a itemprop=""url"" href=""/products/nastolnaya_lampa_lucide_ramzi_47506_81_43/"">                    <div class=""productItem__title"" itemprop=""name"">Настольная лампа Lucide Ramzi 47506/81/43</div>                </a>            </div>"
